station_identifier,latitude,longitude,name,short_name
KCCR,37.99167,-122.05194,"Concord, Buchanan Field",Concord
KSUU,38.26667,-121.95,Fairfield / Travis Air Force Base,Fairfield
KHAF,37.5135999,-122.4996,Half Moon Bay Airport,Half Moon Bay
KHWD,37.66083,-122.11833,"Hayward, Hayward Air Terminal",Hayward
KHES,38.65272,-122.89866,Healdsburg,Healdsburg
KLVK,37.69278,-121.81444,"Livermore, Livermore Municipal Airport",Livermore
KNUQ,37.40583,-122.04806,"Mountain View, Moffett Field",Mountain View
KAPC,38.2075,-122.27944,"Napa, Napa County Airport",Napa
KDVO,38.14178,-122.55463,Novato / Gnoss Field,Novato
KOAK,37.7177999,-122.23294,"Oakland, Metro Oakland International Airport",Oakland
KPAO,37.46667,-122.11667,Palo Alto Airport,Palo Alto
KO69,38.2578,-122.6053,Petaluma Municipal Airport,Petaluma
KSQL,37.51667,-122.25,San Carlos Airport,San Carlos
KSFO,37.61961,-122.36558,"San Francisco, San Francisco International Airport",San Franscisco
KSJC,37.35917,-121.92417,"San Jose, San Jose International Airport",San Jose
KSTS,38.5,-122.81667,"Santa Rosa, Santa Rosa Sonoma County Airport",Santa Rosa
KVCB,38.37755,-121.95853,Vacaville Nut Tree Airport,Vacaville